Neuron,Start Time,Amplitude,Peak,Decay Time,Rise Time,Latency,Frequency
n28,1076,0.3892666666666667,0.799,2,0,2,0.4666666666666667
n28,1081,0.3857000000000001,0.799,0,9,9,0.5
n28,1086,0.35206666666666664,0.816,0,4,4,0.43333333333333335
n28,1091,0.37713333333333343,0.898,0,9,9,0.4666666666666667
n28,1096,0.3379,0.898,0,4,4,0.5
n28,1101,0.32976666666666665,0.898,5,0,5,0.4666666666666667
n28,1106,0.36126666666666685,0.898,0,4,4,0.43333333333333335
n28,1111,0.3571333333333334,0.898,0,1,1,0.43333333333333335
n28,1116,0.3757666666666667,0.898,11,0,11,0.5
n28,1121,0.23393333333333333,0.729,10,0,10,0.5
n28,1126,0.36996666666666667,0.857,1,0,1,0.43333333333333335
n28,1131,0.3846333333333333,0.857,0,1,1,0.4666666666666667
n28,1136,0.3874666666666666,0.857,1,0,1,0.4666666666666667
n28,1141,0.36706666666666654,0.857,3,0,3,0.5
n28,1146,0.3639,0.857,4,0,4,0.43333333333333335
n28,1151,0.34686666666666666,0.857,0,1,1,0.5
n28,1156,0.22016666666666673,0.734,4,7,11,0.5666666666666667
n28,1161,0.18933333333333335,0.734,1,2,3,0.6
n28,1166,0.19353333333333333,0.786,0,2,2,0.5
n28,1171,0.19043333333333345,0.786,30,3,33,0.5
n28,1176,0.2098,0.786,25,0,25,0.5333333333333333
n28,1181,0.21183333333333343,0.786,20,4,24,0.5333333333333333
n28,1186,0.22509999999999997,0.786,15,1,16,0.5333333333333333
n28,1191,0.2492000000000001,0.786,10,0,10,0.5666666666666667
n28,1196,0.26173333333333326,0.777,6,0,6,0.5
n28,1201,0.2653333333333334,0.777,1,3,4,0.5
n28,1206,0.23743333333333339,0.777,5,0,5,0.5666666666666667
n28,1211,0.2973,0.843,0,2,2,0.6
n28,1216,0.2707666666666667,0.843,1,0,1,0.5333333333333333
n28,1221,0.26060000000000005,0.843,0,2,2,0.43333333333333335
n28,1226,0.2664666666666665,0.843,0,2,2,0.43333333333333335
n28,1231,0.26813333333333333,0.843,20,1,21,0.4666666666666667
n28,1236,0.45520000000000005,1.038,12,2,14,0.43333333333333335
n28,1241,0.4730000000000001,1.038,7,0,7,0.43333333333333335
n28,1246,0.5002,1.038,2,1,3,0.43333333333333335
n28,1251,0.4901,1.038,0,3,3,0.5333333333333333
n28,1256,0.4887666666666667,1.038,1,0,1,0.43333333333333335
n28,1261,0.49559999999999993,1.038,0,1,1,0.5333333333333333
n28,1266,0.19089999999999996,0.714,7,2,9,0.5666666666666667
n28,1271,0.20696666666666652,0.714,2,0,2,0.5666666666666667
n28,1276,0.21976666666666667,0.743,14,1,15,0.5333333333333333
n28,1281,0.4165,0.983,4,5,9,0.36666666666666664
n28,1286,0.3798,0.983,2,0,2,0.5
n28,1291,0.3466666666666668,0.983,3,2,5,0.5666666666666667
n28,1296,0.3551333333333334,0.983,0,2,2,0.5666666666666667
n28,1301,0.34186666666666676,0.983,0,1,1,0.5333333333333333
n28,1306,0.33240000000000003,0.983,15,0,15,0.5
n28,1311,0.3392333333333333,0.943,10,0,10,0.5333333333333333
n28,1316,0.16146666666666676,0.744,5,0,5,0.5666666666666667
n28,1321,0.21010000000000006,0.784,0,1,1,0.5666666666666667
n28,1326,0.25749999999999995,0.875,0,1,1,0.5
n28,1331,0.2517999999999999,0.875,7,0,7,0.5
