stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
278,-0.536,-0.284,0.178,0.041,-0.137,0,1.612,-0.625,0.251,-0.159,-0.356,0.447,0.6,1.284,-0.045,0.172,-0.368,0.462,-0.402,-0.067,-0.704,-0.453,-0.568,-0.698,-0.27,-0.539,0.004,-0.088,-0.121
279,-0.512,-0.039,-0.067,-0.23,-0.137,0,1.398,-0.596,0.209,-0.094,-0.392,0.266,0.677,1.282,-0.307,0.271,-0.345,0.422,-0.455,-0.076,-0.614,-0.481,-0.588,-0.671,-0.31,-0.471,-0.129,0.025,-0.162
280,-0.584,-0.191,-0.24,-0.222,-0.246,0,0.92,-0.763,0.227,-0.247,-0.616,-0.04,0.55,1.048,-0.341,0.077,-0.506,0.17,-0.477,-0.146,-0.649,-0.51,-0.706,-0.764,-0.447,-0.52,-0.211,-0.065,-0.177
281,-0.425,-0.046,0.127,0.031,-0.149,0,1.406,-0.601,0.312,-0.044,-0.442,0.508,0.829,1.506,-0.112,0.072,-0.337,0.42,-0.329,0.04,-0.492,-0.406,-0.556,-0.713,-0.24,-0.585,-0.071,0.224,0.033
282,-0.504,-0.14,-0.01,-0.136,-0.153,0,1.226,-0.574,0.019,-0.124,-0.525,0.28,0.606,1.184,-0.283,0.178,-0.518,0.527,-0.416,-0.091,-0.527,-0.41,-0.7,-0.635,-0.273,-0.534,-0.175,-0.181,-0.01
283,-0.579,-0.085,-0.203,-0.101,-0.216,0,1.088,-0.826,0.228,-0.172,-0.448,0.212,0.55,1.179,-0.394,0.103,-0.398,0.279,-0.532,-0.142,-0.46,-0.497,-0.57,-0.724,-0.391,-0.499,-0.196,-0.066,-0.125
284,-0.53,-0.086,0.033,-0.157,-0.259,0,1.165,-0.76,0.186,-0.027,-0.501,0.337,0.656,1.478,-0.284,0.023,-0.467,0.489,-0.411,-0.039,-0.583,-0.444,-0.634,-0.681,-0.254,-0.49,-0.184,0.031,-0.042
285,-0.49,-0.059,0.078,-0.159,-0.14,0,1.35,-0.631,0.152,-0.173,-0.403,0.176,0.679,1.388,-0.203,0.21,-0.466,0.48,-0.35,-0.078,-0.52,-0.439,-0.642,-0.704,-0.249,-0.474,-0.183,0.12,-0.046
286,-0.503,-0.201,0.133,-0.143,-0.231,-0.043,1.528,-0.458,0.171,0,-0.367,0.15,0.296,1.551,-0.198,0.264,-0.324,0.451,-0.35,0.086,-0.622,-0.43,-0.605,-0.629,-0.246,-0.487,-0.014,-0.065,-0.22
287,-0.425,0.077,-0.092,-0.028,-0.121,0,1.227,-0.614,0.198,-0.116,-0.455,0.015,0.713,1.473,-0.22,0.166,-0.286,0.362,-0.395,-0.032,-0.525,-0.474,-0.643,-0.634,-0.225,-0.414,0.029,0.029,-0.124
288,-0.508,-0.163,0.027,-0.046,-0.231,0,1.234,-0.737,0.137,-0.2,-0.424,0.303,0.704,1.424,-0.259,-0.006,-0.448,0.322,-0.351,-0.082,-0.528,-0.5,-0.653,-0.672,-0.252,-0.455,-0.203,0.128,-0.103
289,-0.553,-0.137,0.009,-0.025,-0.225,0,1.258,-0.455,0.116,-0.029,-0.462,0.237,0.63,1.439,-0.209,0.187,-0.318,0.427,-0.262,-0.021,-0.56,-0.369,-0.58,-0.557,-0.237,-0.458,-0.207,0.109,-0.049
290,-0.434,-0.042,0.061,0.101,-0.216,0,1.339,-0.59,0.15,-0.161,-0.414,0.166,0.65,1.458,-0.321,0.249,-0.436,0.464,-0.38,-0.015,-0.502,-0.381,-0.634,-0.671,-0.18,-0.441,-0.107,-0.126,-0.097
291,-0.523,-0.074,-0.223,-0.174,-0.204,0,1.062,-0.51,0.132,-0.129,-0.542,0.038,0.414,1.165,-0.242,0.171,-0.264,0.477,-0.381,-0.088,-0.615,-0.45,-0.661,-0.576,-0.186,-0.472,-0.091,-0.099,-0.134
292,-0.491,-0.168,0.136,0.027,-0.19,0,1.435,-0.613,0.1,-0.018,-0.394,0.42,0.651,1.417,-0.178,0.265,-0.505,0.385,-0.384,-0.054,-0.659,-0.482,-0.62,-0.714,-0.194,-0.447,-0.02,0.107,-0.085
293,-0.558,-0.174,-0.084,-0.112,-0.205,0.021,1.007,-0.569,0,-0.262,-0.499,0.13,0.507,1.115,-0.268,-0.025,-0.439,0.308,-0.445,-0.127,-0.67,-0.455,-0.634,-0.705,-0.188,-0.515,-0.145,0.025,-0.168
294,-0.59,-0.045,0.062,0.023,-0.187,0,1.374,-0.481,0.121,-0.082,-0.381,0.198,0.443,1.299,-0.163,0.102,-0.448,0.448,-0.359,-0.036,-0.698,-0.396,-0.558,-0.595,-0.162,-0.484,-0.093,-0.138,-0.161
295,-0.483,-0.209,-0.009,-0.177,-0.193,0,1.184,-0.694,0.041,-0.134,-0.368,0.074,0.611,1.276,-0.327,0.118,-0.365,0.306,-0.361,-0.091,-0.616,-0.428,-0.575,-0.764,-0.31,-0.356,-0.091,0.042,-0.164
296,-0.482,-0.14,-0.004,-0.008,-0.138,0,1.373,-0.649,0.096,-0.056,-0.461,0.352,0.631,1.348,-0.322,0.295,-0.373,0.312,-0.34,0.049,-0.591,-0.41,-0.653,-0.683,-0.127,-0.457,-0.193,0.023,0.005
297,-0.561,-0.07,0.049,-0.043,-0.051,0,1.28,-0.543,0.011,-0.108,-0.519,0.167,0.471,1.302,-0.186,0.247,-0.346,0.484,-0.26,0.059,-0.602,-0.407,-0.61,-0.721,-0.187,-0.418,0.015,0.109,-0.023
298,-0.399,-0.078,-0.018,-0.021,-0.166,-0.022,1.413,-0.666,0.163,0,-0.336,0.119,0.529,1.345,-0.155,0.146,-0.295,0.477,-0.333,-0.064,-0.612,-0.369,-0.647,-0.584,-0.096,-0.437,-0.088,-0.276,-0.14
299,-0.409,-0.005,-0.157,-0.208,-0.16,0,1.262,-0.727,0.094,-0.101,-0.405,-0.035,0.53,1.193,-0.213,-0.02,-0.382,0.228,-0.339,-0.121,-0.601,-0.469,-0.65,-0.666,-0.237,-0.348,-0.106,0.197,-0.147
300,-0.251,-0.08,0.024,-0.088,-0.158,0.036,1.277,-0.615,0,-0.015,-0.443,0.259,0.504,1.109,-0.227,0.185,-0.289,0.299,-0.355,-0.063,-0.626,-0.374,-0.633,-0.719,-0.229,-0.429,-0.185,0.169,-0.091
301,-0.178,-0.004,0.014,0.007,-0.142,0,1.369,-0.819,0.114,-0.05,-0.436,0.443,0.652,1.31,-0.137,0.271,-0.317,0.357,-0.37,0.052,-0.498,-0.361,-0.637,-0.674,-0.252,-0.35,-0.07,0.045,0.014
302,-0.142,-0.083,0.04,-0.063,-0.265,0,1.321,-0.529,0.006,-0.139,-0.427,0.134,0.419,1.126,-0.178,0.1,-0.161,0.374,-0.324,-0.015,-0.64,-0.327,-0.607,-0.613,-0.248,-0.424,-0.166,-0.16,-0.074
303,0.037,-0.116,-0.023,-0.068,-0.263,0,1.067,-0.558,0.047,-0.027,-0.512,0.212,0.206,1.091,-0.042,0.032,-0.137,0.296,-0.435,-0.08,-0.652,-0.387,-0.632,-0.648,-0.217,-0.423,-0.073,-0.029,-0.196
304,0.055,0.004,0.233,-0.012,-0.131,0.099,1.359,-0.497,0,-0.072,-0.405,0.236,0.403,1.105,0.115,0.148,-0.173,0.475,-0.248,-0.025,-0.39,-0.362,-0.62,-0.708,-0.246,-0.439,-0.072,0.011,-0.116
305,0.138,0.116,0.063,-0.044,-0.19,0.048,1.578,-0.726,0,-0.18,-0.245,0.253,0.533,1.422,0.158,0.296,-0.145,0.446,-0.353,0.06,-0.662,-0.456,-0.534,-0.556,-0.147,-0.44,0.046,0.015,-0.039
